block_id,block_start,block_end,block_duration_h,capacity_price_input_unit,capacity_price_raw,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,capacity_pricing_rule,opportunity_cost_EUR_per_MW_h,capacity_bid_price_EUR_per_MW_h,capacity_clearing_price_EUR_per_MW_h,capacity_settlement_price_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,capacity_opportunity_cost_EUR,capacity_market_surplus_EUR,capacity_net_value_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-05-18_08:00_12:00,2025-05-18 08:00:00+02:00,2025-05-18 12:00:00+02:00,4.0,EUR_per_MW_per_h,78.05,78.05,False,False,16,pay_as_bid,35.483223529411774,78.05,78.05,78.05,True,True,False,True,False,8,1,0,-1.9490352941176496,116.54,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,181.98842190381853,0.0,0.0
2025-05-18_12:00_16:00,2025-05-18 12:00:00+02:00,2025-05-18 16:00:00+02:00,4.0,EUR_per_MW_per_h,140.96,140.96,False,False,16,pay_as_bid,58.94596470588236,140.96,140.96,140.96,True,True,True,True,True,15,0,0,21.86096470588236,321.448,10.0,10.0,1.0,10.0,5638.400000000001,2357.8385882352945,0.0,3280.561411764706,10.0,177.31628604519335,29.168,86.66943
2025-05-18_16:00_20:00,2025-05-18 16:00:00+02:00,2025-05-18 20:00:00+02:00,4.0,EUR_per_MW_per_h,48.33,48.33,False,False,16,pay_as_bid,22.93798235294118,48.33,48.33,48.33,True,True,False,True,False,10,4,0,-51.319035294117654,209.572,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,201.08179728592467,15.0,217.15000000000003
2025-05-18_20:00_00:00,2025-05-18 20:00:00+02:00,2025-05-19 00:00:00+02:00,4.0,EUR_per_MW_per_h,2.76,2.76,False,False,16,pay_as_bid,0.0,2.76,2.76,2.76,True,True,False,True,False,13,13,0,-47.42903529411764,59.208,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,204.08163265306123,0.0,0.0
2025-05-19_00:00_04:00,2025-05-19 00:00:00+02:00,2025-05-19 04:00:00+02:00,4.0,EUR_per_MW_per_h,3.7,3.7,False,False,16,pay_as_bid,0.0,3.7,3.7,3.7,True,True,False,True,False,11,11,2,-44.93903529411763,9.928,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,204.08163265306123,0.0,0.0
2025-05-19_04:00_08:00,2025-05-19 04:00:00+02:00,2025-05-19 08:00:00+02:00,4.0,EUR_per_MW_per_h,3.73,3.73,False,False,16,pay_as_bid,0.0,3.73,3.73,3.73,True,True,False,True,False,13,13,0,-51.86903529411764,96.496,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,204.08163265306123,0.0,0.0
2025-05-19_08:00_12:00,2025-05-19 08:00:00+02:00,2025-05-19 12:00:00+02:00,4.0,EUR_per_MW_per_h,59.02,59.02,False,False,16,pay_as_bid,5.512741176470591,59.02,59.02,59.02,True,True,False,True,False,15,6,0,-42.61903529411764,217.748,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0779783860179,2.5,35.775
2025-05-19_12:00_16:00,2025-05-19 12:00:00+02:00,2025-05-19 16:00:00+02:00,4.0,EUR_per_MW_per_h,98.19,98.19,False,False,16,pay_as_bid,37.13096470588236,98.19,98.19,98.19,True,True,False,True,False,12,1,0,-4.099035294117641,281.032,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.4422371893385,22.708,229.6651
2025-05-19_16:00_20:00,2025-05-19 16:00:00+02:00,2025-05-19 20:00:00+02:00,4.0,EUR_per_MW_per_h,34.66,34.66,False,False,16,pay_as_bid,0.0,34.66,34.66,34.66,True,True,False,True,False,14,8,1,-173.73903529411763,118.744,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,201.0337938561172,13.381,244.46239
2025-05-19_20:00_00:00,2025-05-19 20:00:00+02:00,2025-05-20 00:00:00+02:00,4.0,EUR_per_MW_per_h,2.35,2.35,False,False,16,pay_as_bid,0.0,2.35,2.35,2.35,True,True,False,True,False,14,6,0,-48.87903529411763,346.772,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,194.7819673156001,20.0,745.5
