Hour;T2
4208;84,60226418
4209;94,39831582
4210;104,1943675
4211;104,1943675
4212;124,6770209
4213;124,6770209
4214;82,82116388
4215;124,6770209
4216;124,6770209
4217;73,47038732
4218;31,35739962
4219;20,69588375
4220;20,69588375
4221;20,69588375
4222;20,69588375
4223;20,69588375
4224;20,69588375
4225;20,35402638
4226;20,35402638
4227;20,35402638
4228;20,35402638
4229;20,35402638
4230;20,35402638
4231;20,35402638
4232;83,20479269
4233;92,83903184
4234;102,473271
4235;102,473271
4236;122,6175892
4237;122,6175892
4238;81,45311284
4239;122,6175892
4240;122,6175892
4241;72,25679365
4242;30,83943391
4243;20,35402638
4244;20,35402638
4245;20,35402638
4246;20,35402638
4247;20,35402638
4248;20,35402638
4249;31,21270028
4250;18,91678805
4251;18,91678805
4252;18,91678805
4253;18,91678805
4254;18,91678805
4255;18,91678805
4256;80,58551708
4257;100,7318963
4258;110,805086
4259;110,805086
4260;130,9514653
4261;130,9514653
4262;90,65870671
4263;130,9514653
4264;100,7318963
4265;47,29197012
4266;31,21270028
4267;19,86262745
4268;18,91678805
4269;18,91678805
4270;18,91678805
4271;18,91678805
4272;18,91678805
4273;31,60550271
4274;28,44495244
4275;28,44495244
4276;28,44495244
4277;28,44495244
4278;28,44495244
4279;28,44495244
4280;28,44495244
4281;28,44495244
4282;28,44495244
4283;28,44495244
4284;28,44495244
4285;28,44495244
4286;28,44495244
4287;28,44495244
4288;28,44495244
4289;28,44495244
4290;28,44495244
4291;28,44495244
4292;28,44495244
4293;28,44495244
4294;28,44495244
4295;28,44495244
4296;28,44495244
4297;28,53526776
4298;28,53526776
4299;28,53526776
4300;28,53526776
4301;28,53526776
4302;28,53526776
4303;28,53526776
4304;28,53526776
4305;28,53526776
4306;28,53526776
4307;28,53526776
4308;28,53526776
4309;28,53526776
4310;28,53526776
4311;28,53526776
4312;28,53526776
4313;28,53526776
4314;28,53526776
4315;28,53526776
4316;28,53526776
4317;28,53526776
