block_id,block_start,block_end,block_duration_h,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,opportunity_cost_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-04-28_16:00_20:00,2025-04-28 16:00:00+02:00,2025-04-28 20:00:00+02:00,4.0,31.21,False,False,16,0.0,True,True,False,True,False,10,9,1,-66.43764705882353,308.956,5.004575837004109,5.0,1.0,0.0,0.0,16.0,330.71789473684214,4.0,-18.0
2025-04-28_20:00_00:00,2025-04-28 20:00:00+02:00,2025-04-29 00:00:00+02:00,4.0,1.42,False,False,16,0.0,True,True,False,True,False,13,13,0,-96.17764705882354,288.124,5.004575837004109,5.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-29_00:00_04:00,2025-04-29 00:00:00+02:00,2025-04-29 04:00:00+02:00,4.0,2.72,False,False,16,0.0,True,True,False,True,False,3,3,0,-148.83764705882353,8.828,5.004575837004109,5.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-29_04:00_08:00,2025-04-29 04:00:00+02:00,2025-04-29 08:00:00+02:00,4.0,3.33,False,False,16,0.0,True,True,False,True,False,16,16,0,-88.89764705882354,437.612,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-29_08:00_12:00,2025-04-29 08:00:00+02:00,2025-04-29 12:00:00+02:00,4.0,65.0,False,False,16,0.0,True,True,False,True,False,16,6,0,-40.38764705882354,325.6,16.0,16.0,1.0,0.0,0.0,0.0,327.7519705941661,17.088,-332.07903999999996
2025-04-29_12:00_16:00,2025-04-29 12:00:00+02:00,2025-04-29 16:00:00+02:00,4.0,1593.0,False,False,16,0.0,True,True,False,True,False,15,13,0,-62.93764705882352,313.76,16.0,16.0,1.0,0.0,0.0,0.0,326.85901861547467,8.0,-55.68000000000001
2025-04-29_16:00_20:00,2025-04-29 16:00:00+02:00,2025-04-29 20:00:00+02:00,4.0,40.26,False,False,16,0.0,True,True,False,True,False,9,9,0,-101.74764705882353,48.796,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-29_20:00_00:00,2025-04-29 20:00:00+02:00,2025-04-30 00:00:00+02:00,4.0,1.25,False,False,16,0.0,True,True,False,True,False,14,14,0,-555.1376470588235,371.616,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-30_00:00_04:00,2025-04-30 00:00:00+02:00,2025-04-30 04:00:00+02:00,4.0,5.07,False,False,16,0.0,True,True,False,True,False,1,1,0,-92.13764705882355,0.008,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-30_04:00_08:00,2025-04-30 04:00:00+02:00,2025-04-30 08:00:00+02:00,4.0,17.35,False,False,16,0.0,True,True,False,True,False,9,9,0,-455.21764705882356,79.836,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-30_08:00_12:00,2025-04-30 08:00:00+02:00,2025-04-30 12:00:00+02:00,4.0,815.82,False,False,16,0.0,True,True,False,True,False,15,8,0,-357.2676470588235,268.88,16.0,16.0,1.0,0.0,0.0,0.0,327.6654001658442,16.0,-398.64
2025-04-30_12:00_16:00,2025-04-30 12:00:00+02:00,2025-04-30 16:00:00+02:00,4.0,211.51,False,False,16,0.9286764705882344,True,True,False,True,False,16,7,0,-74.38764705882355,586.788,16.0,16.0,1.0,0.0,0.0,0.0,333.14736842105265,12.0,-133.88
2025-04-30_16:00_20:00,2025-04-30 16:00:00+02:00,2025-04-30 20:00:00+02:00,4.0,28.16,False,False,16,0.0,True,True,False,True,False,13,11,0,-427.8776470588235,388.548,16.0,16.0,1.0,0.0,0.0,16.0,324.59980842105267,8.0,-35.04
